,bodyId,type,roi,x,y,z,confidence,linksTo
261,5813087532,post,SPS(R),19439,10607,21857,0.777,3149
262,5813087532,post,IB,21221,13012,18794,0.995731,840
263,5813087532,post,IB,19492,13582,17773,0.48179,333
264,5813087532,post,SPS(R),16299,11507,24940,0.575383,4241
265,5813087532,post,IB,19535,13624,17686,0.664508,338
266,5813087532,post,ICL(R),19471,13594,17700,0.929644,344
267,5813087532,post,SPS(R),17179,13115,26126,0.944932,4153
268,5813087532,post,SPS(R),15315,11005,25038,0.4721836,3604
269,5813087532,post,IB,21476,11726,20367,0.921604,1429
270,5813087532,post,SPS(R),19783,10349,22086,0.853505,2998
271,5813087532,post,SPS(R),20068,10535,21955,0.46333033,2942
272,5813087532,post,SPS(R),20045,10547,21893,0.4531679,2948
273,5813087532,post,SPS(R),20003,10534,21985,0.419073,2924
274,5813087532,post,SPS(R),16760,12874,26456,0.602448,4204
275,5813087532,post,SPS(R),17425,13173,26380,0.668229,4041
276,5813087532,post,SPS(R),17447,13212,26535,0.7345,4027
277,5813087532,post,SPS(R),16982,13034,26336,0.992543,4118
278,5813087532,post,SPS(R),16080,12867,26424,0.905076,3718
279,5813087532,post,SPS(R),17906,12236,26766,0.989182,4002
280,5813087532,post,SPS(R),17974,12167,26615,0.954977,4018
281,5813087532,post,SPS(R),17578,10708,23064,0.881067,3312
282,5813087532,post,SPS(R),19220,10509,21866,0.884628,3155
283,5813087532,post,SPS(R),16289,11280,24783,0.45186144,3446
284,5813087532,post,SPS(R),18698,10470,22436,0.685233,3227
285,5813087532,post,SPS(R),19364,10534,21889,0.932238,3139
286,5813087532,post,SPS(R),17494,13532,25362,0.951,3817
287,5813087532,post,SPS(R),17044,13150,26130,0.736864,4141
288,5813087532,post,SPS(R),16873,13221,26762,0.977101,4093
289,5813087532,post,SPS(R),16821,13296,26888,0.4806739,4104
290,5813087532,post,SPS(R),16856,13252,26817,0.992983,4098
291,5813087532,post,SPS(R),20294,10642,22025,0.88602,5114
292,5813087532,post,SPS(R),20286,10631,21931,0.52512,5109
293,5813087532,post,IB,21718,11682,20351,0.960008,1335
294,5813087532,post,SPS(R),15382,11094,24911,0.683,3590
295,5813087532,post,SPS(R),16613,10955,24240,0.645386,3423
296,5813087532,post,SPS(R),16527,10906,24171,0.652489,3417
297,5813087532,post,SPS(R),16339,12831,26347,0.937274,4232
298,5813087532,post,SPS(R),25135,11907,24252,0.927042,4851
299,5813087532,post,IB,23890,10970,22034,0.868929,4935
300,5813087532,post,SPS(R),24946,11727,24060,0.928313,4835
301,5813087532,post,SPS(R),25314,12109,24502,0.958919,4900
302,5813087532,post,IB,23850,10972,21993,0.473243,4931
303,5813087532,post,IB,24980,11688,23917,0.810204,4783
